if_plate_id,position,sample,antibody,gene_names,locations
1,A1,1,HPA000992,GOLGA5,Golgi apparatus
1,A1,2,HPA000992,GOLGA5,Golgi apparatus
1,A12,1,HPA004917,DIAPH3,"Plasma membrane,Cytoplasm"
1,A12,2,HPA004917,DIAPH3,"Plasma membrane,Cytoplasm"
1,A3,1,HPA002899,BEGAIN,"Cytoplasm,Nucleoplasm"
1,A3,2,HPA002899,BEGAIN,"Cytoplasm,Nucleoplasm"
1,A6,1,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
1,A6,2,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
1,A8,1,HPA000898,HSPA9,Mitochondria
1,A8,2,HPA000898,HSPA9,Mitochondria
1,B4,1,HPA003583,DCAF11,Nucleoplasm
1,B4,2,HPA003583,DCAF11,Nucleoplasm
1,B7,1,HPA003618,ZDHHC15,"Cytoplasm,Nuclear speckles"
1,B7,2,HPA003618,ZDHHC15,"Cytoplasm,Nuclear speckles"
1,C1,1,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
1,C1,2,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
1,C2,1,HPA004816,GTF2E2,Nuclear speckles
1,C2,2,HPA004816,GTF2E2,Nuclear speckles
1,C6,1,HPA001780,RPS6KA5,NULL
1,C6,2,HPA001780,RPS6KA5,NULL
1,C8,1,HPA001130,LGALS1,Cytoplasm
1,C8,2,HPA001130,LGALS1,Cytoplasm
1,D1,1,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
1,D1,2,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
1,D8,1,HPA004478,LIFR,Nuclear speckles
1,D8,2,HPA004478,LIFR,Nuclear speckles
1,E1,1,HPA002925,FLNA,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
1,E1,2,HPA002925,FLNA,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
1,E6,1,HPA003198,CCT2,Cytoplasm
1,E6,2,HPA003198,CCT2,Cytoplasm
1,F3,1,HPA002645,PDIA3,Endoplasmic reticulum
1,F3,2,HPA002645,PDIA3,Endoplasmic reticulum
1,F4,1,HPA003230,PDIA3,Endoplasmic reticulum
1,F4,2,HPA003230,PDIA3,Endoplasmic reticulum
1,F5,1,HPA002896,NDRG2,"Cytoplasm,Centrosome,Nucleoplasm"
1,F5,2,HPA002896,NDRG2,"Cytoplasm,Centrosome,Nucleoplasm"
1,G2,1,HPA000449,ESR1,Vesicles
1,G2,2,HPA000449,ESR1,Vesicles
1,G7,1,HPA001520,ATP5B,Mitochondria
1,G7,2,HPA001520,ATP5B,Mitochondria
1,H1,1,HPA001908,LAMC1,Endoplasmic reticulum
1,H1,2,HPA001908,LAMC1,Endoplasmic reticulum
1,H3,1,HPA003414,PITPNM2,Vesicles
1,H3,2,HPA003414,PITPNM2,Vesicles
1,H9,1,HPA004479,AFG3L2,Mitochondria
1,H9,2,HPA004479,AFG3L2,Mitochondria
2,A1,1,HPA000992,GOLGA5,Golgi apparatus
2,A1,2,HPA000992,GOLGA5,Golgi apparatus
2,A12,1,HPA004917,DIAPH3,"Plasma membrane,Cytoplasm,Nuclear bodies"
2,A12,2,HPA004917,DIAPH3,"Plasma membrane,Cytoplasm,Nuclear bodies"
2,A5,1,HPA000427,CSTF2,Nucleoplasm
2,A5,2,HPA000427,CSTF2,Nucleoplasm
